git_by_a_bus:__init__.py	1	tomheon:1:0	1	tomheon:1.0	tomheon:0.1
git_by_a_bus:common.py	127	tomheon:120:0,tomheon:1:0,tomheon:7:1	127	tomheon:127.1	tomheon:12.71
git_by_a_bus:estimate_file_risk.py	68	tomheon:67:0,tomheon:1:0,tomheon:2:2	68	tomheon:68.2	tomheon:6.82
git_by_a_bus:estimate_unique_knowledge.py	151	tomheon:151:0	151	tomheon:151.0	tomheon:15.1
git_by_a_bus:gen_file_stats.py	77	tomheon:71:0,tomheon:3:1,tomheon:4:0	77	tomheon:77.1	tomheon:7.71
git_by_a_bus:git_by_a_bus.py	209	tomheon:202:0,tomheon:2:1,tomheon:1:2,Joseph Wecker:1:0,Joseph Wecker:10:4,Joseph Wecker:1:1	209	Joseph Wecker:7.5,Joseph Wecker:tomheon:4.43512671305,tomheon:197.764873287	Joseph Wecker:0.75,Joseph Wecker:tomheon:0.0443512671305,tomheon:19.7764873287
git_by_a_bus:git_file_stats.py	155	tomheon:154:0,tomheon:1:0,tomheon:2:2	155	tomheon:155.2	tomheon:15.52
git_by_a_bus:summarize.py	429	tomheon:422:0,tomheon:6:0,Joseph Wecker:1:1,Ralph Bean:2:1,Nathaniel Case:1:1	429	Joseph Wecker:Nathaniel Case:tomheon:0.00188326450801,Joseph Wecker:tomheon:0.896224654203,tomheon:425.308388678,Joseph Wecker:Nathaniel Case:0.000209251612002,Joseph Wecker:0.0995805171336,Nathaniel Case:Ralph Bean:tomheon:0.00188282366894,Joseph Wecker:Nathaniel Case:Ralph Bean:4.40839070228e-07,Joseph Wecker:Ralph Bean:0.00020979041531,Nathaniel Case:Ralph Bean:0.00230661696179,Ralph Bean:tomheon:0.896014863787,Joseph Wecker:Nathaniel Case:Ralph Bean:tomheon:3.96755163205e-06,Nathaniel Case:0.1,Joseph Wecker:Ralph Bean:tomheon:0.00188811373779,Ralph Bean:1.09769338304,Nathaniel Case:tomheon:0.893713634859	Joseph Wecker:Nathaniel Case:tomheon:1.88326450801e-06,Joseph Wecker:tomheon:0.00896224654203,tomheon:42.5308388678,Joseph Wecker:Nathaniel Case:2.09251612002e-06,Joseph Wecker:0.00995805171336,Nathaniel Case:Ralph Bean:tomheon:1.88282366894e-06,Joseph Wecker:Nathaniel Case:Ralph Bean:4.40839070228e-10,Joseph Wecker:Ralph Bean:2.0979041531e-06,Nathaniel Case:Ralph Bean:2.30661696179e-05,Ralph Bean:tomheon:0.00896014863787,Joseph Wecker:Nathaniel Case:Ralph Bean:tomheon:3.96755163205e-10,Nathaniel Case:0.01,Joseph Wecker:Ralph Bean:tomheon:1.88811373779e-06,Ralph Bean:0.109769338304,Nathaniel Case:tomheon:0.00893713634859
git_by_a_bus:svn_file_stats.py	166	tomheon:166:0,tomheon:2:2	166	tomheon:166.2	tomheon:16.62
